filename,mu_orig,mu_refined,mu_gt,mu_orig_err,mu_refined_err,loss_orig,loss_refined,loss_delta,nmse_orig,nmse_refined,nmse_delta,nmse_summary_orig,sanity_ok,sanity_grid_min_mu,elapsed_s
random_IR_0072.npz,32.291045687985,16.47598354521427,16.47783529383453,15.813210394150467,-0.0018517486202611622,5.054261720260911e-08,1.1005425043508765e-10,-5.043256295217402e-08,0.003874039562741523,2.012275135686734e-09,-0.0038740375504663876,0.00387404,True,18.806842105263158,2.173
random_IR_0073.npz,12.368455943883617,15.710277002117412,15.712034083781818,-3.3435781398982005,-0.001757081664406357,2.134496845940248e-08,3.995214228891264e-11,-2.1305016317113568e-08,0.00017321383608928783,1.4362449844672593e-08,-0.00017319947363944317,0.00017321,True,18.806842105263158,0.738
random_IR_0074.npz,59.2632898886581,55.96873281852909,55.96358696050865,3.2997029281494505,0.005145858020441096,1.907320967831083e-09,1.4213485423353323e-11,-1.89310748240773e-09,0.00016868695932711227,3.55334065587089e-09,-0.0001686834059864564,0.00016869,True,57.01947368421053,1.235
random_IR_0075.npz,43.01456943568327,34.976694047637935,34.98258659324599,8.03198284243728,-0.005892545608055855,4.82663020662244e-09,2.3483151187497775e-11,-4.803147055434942e-09,0.0009994810149198524,1.2669756245111035e-08,-0.0009994683451636074,0.00099948,True,35.183684210526316,1.723
random_IR_0076.npz,13.6530354253352,12.840278074936084,12.839833902964633,0.8132015223705675,0.0004441719714503023,6.462563373332841e-09,4.161823663473285e-11,-6.4209451366981085e-09,1.0247529496189331e-05,2.340606801345516e-09,-1.0245188889387986e-05,1.025e-05,True,13.347894736842106,1.066
random_IR_0077.npz,43.62686787934904,9.745832870021754,9.745890593952169,33.880977285396874,-5.7723930414255165e-05,5.893259924505401e-08,1.9712328991339234e-11,-5.891288691606267e-08,0.017784253549963696,2.0561839481186077e-09,-0.017784251493779747,0.01778427,True,7.888947368421054,1.799
random_IR_0078.npz,20.66505822205682,13.866568052321096,13.865658871000926,6.799399351055895,0.0009091813201695942,1.2869167065332476e-08,5.311253173378994e-12,-1.2863855812159097e-08,0.0007162503369071661,2.419675147591897e-11,-0.0007162503127104146,0.00071623,True,13.347894736842106,7.671
random_IR_0079.npz,36.396559171796845,37.05443374299577,37.05231030205806,-0.6557511302612156,0.002123440937708665,3.776455814730184e-10,1.0901481974079363e-11,-3.6674409949893905e-10,6.6688564700747325e-06,6.969266702443374e-09,-6.661887203372289e-06,6.67e-06,True,35.183684210526316,1.267
random_IR_0080.npz,26.034179990113863,25.343426652006357,25.342912683397245,0.6912673067166182,0.0005139686091126805,7.370063448419728e-10,1.1720117931712792e-11,-7.2528622691026e-10,7.403673198844831e-06,5.405959928392633e-10,-7.403132602851992e-06,7.4e-06,True,24.26578947368421,1.272
random_IR_0081.npz,7.93389199978297,28.859705855394118,28.866400225983593,-20.932508226200625,-0.006694370589475085,8.91464466690195e-08,1.4657138350249177e-11,-8.913178953066925e-08,0.006788382418537443,1.092394218707785e-09,-0.006788381326143225,0.00678832,True,29.724736842105266,4.755
random_IR_0082.npz,66.59963117575415,85.19009773982123,85.19059477425611,-18.590963598501958,-0.0004970344348862454,3.4207185972690013e-09,4.457369803118061e-12,-3.4162612274658832e-09,0.0053546065863270854,4.157265298364703e-10,-0.005354606170600556,0.00535457,True,84.3142105263158,3.249
random_IR_0083.npz,30.183880232122917,42.00504868359387,42.00585209267269,-11.821971860549773,-0.0008034090788200388,5.900794963764611e-09,3.2378379491437848e-12,-5.897557125815467e-09,0.0021652279744532295,2.767563180245019e-10,-0.0021652276976969116,0.00216521,True,40.64263157894737,4.592
random_IR_0084.npz,53.16699424262404,42.86005207552114,42.86133456728384,10.305659675340202,-0.0012824917627014543,1.0021172336394102e-08,1.4368091785788017e-11,-1.0006804244608314e-08,0.0016454146798309324,1.8065130772885415e-10,-0.0016454144991796247,0.00164543,True,40.64263157894737,3.032
