step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CF_DELAY_0,train/param_grad/CF_DEPTH_0,train/param_grad/CF_MIX_0,train/param_grad/CF_RATE_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/param,val_id/param_group/chorus_delay_ms,val_id/param_group/chorus_depth,val_id/param_group/chorus_mix,val_id/param_group/chorus_rate,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/loud,val_ood/lsd,val_ood/mfcc,val_ood/mfcc03,val_ood/param,val_ood/perc,val_ood/spec,val_ood/wave
6149,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6199,24,,0.000785678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6249,24,24,0.000785678,10,0,0,6.05029e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.04637e-05,0.015625,0.015625,0.650126,6.0652,11.58,1.46377,0.142007,0.0876534,0.209924,0.194829,0.0939071,0.112252,0.0711243,0.0474325,0.00688482,0.0380871,0.102093,0,5.49683,0,6.40344,17.2021,2.61526,0.368411,0,0,10.7627,0
6299,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6349,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6399,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6449,25,,0.000777821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6499,25,25,0.000777821,10,0,0,6.05199e-05,0.015625,0.015625,0.015625,0.015625,0.015625,6.04212e-05,0.015625,0.015625,0.626351,5.87674,11.6873,1.45895,0.129409,0.0828648,0.200056,0.194453,0.093247,0.107015,0.0639216,0.0455545,0.00736258,0.0358692,0.081169,0,4.83179,0,6.18318,17.1577,2.63142,0.362109,0,0,9.9095,0
6549,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6599,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6649,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,26,,0.000770043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
