step,epoch,epoch,lr-Adam,lw/param_w,lw/perc_w,lw/sw_w,train/param_grad/AMP_0,train/param_grad/BFRQ_0,train/param_grad/CUTOFF_0,train/param_grad/M_OSC_0,train/param_grad/Q_FILT_0,train/total,val_id/loud,val_id/lsd,val_id/mfcc,val_id/mfcc03,val_id/mfccdb,val_id/param,val_id/param_group/harmor_amplitudes,val_id/param_group/harmor_cutoff,val_id/param_group/harmor_f0_hz,val_id/param_group/harmor_osc_mix,val_id/param_group/harmor_q,val_id/perc,val_id/spec,val_id/wave,val_ood/lsd
8499,33,33,0.000717731,10,0,0,0.000111845,0.03125,0.000110334,0.03125,0.03125,0.300337,6.35825,12.1349,1.17645,0.0859369,3.87718,0.034308,0.0645826,0.0309668,0.0048863,0.0218006,0.0493037,0,5.30032,0,
8549,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8599,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8649,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8699,34,,0.000710553,,,,,,,,,,,,,,,,,,,,,,,,
8749,34,34,0.000710553,10,0,0,0.000112094,0.03125,0.000110387,0.03125,0.03125,0.295271,6.4706,13.0056,1.2051,0.0896715,4.17439,0.0348551,0.058685,0.0318641,0.00605814,0.0215524,0.0561159,0,6.37354,0,
8799,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8849,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8899,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8949,35,,0.000703448,,,,,,,,,,,,,,,,,,,,,,,,
8999,35,35,0.000703448,10,0,0,0.000111802,0.03125,0.00010978,0.03125,0.03125,0.291903,6.1975,11.2123,1.13767,0.0681793,3.42005,0.0324145,0.0552623,0.0310333,0.00389241,0.0225063,0.0493784,0,5.01306,0,
9049,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9099,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9149,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9199,36,,0.000696413,,,,,,,,,,,,,,,,,,,,,,,,
9249,36,36,0.000696413,10,0,0,0.000111886,0.03125,0.000109507,0.03125,0.03125,0.289779,6.23959,10.884,1.12221,0.0730416,3.3151,0.0360026,0.0643407,0.0324189,0.00346302,0.0266325,0.0531578,0,4.83915,0,
9299,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9349,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9399,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9449,37,,0.000689449,,,,,,,,,,,,,,,,,,,,,,,,
9499,37,37,0.000689449,10,0,0,0.000111298,0.03125,0.000109763,0.03125,0.03125,0.284154,6.3212,11.0043,1.13842,0.0680232,3.27277,0.0328775,0.0556172,0.031584,0.00355545,0.0209117,0.0527191,0,4.97617,0,
9549,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9599,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9649,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9699,38,,0.000682555,,,,,,,,,,,,,,,,,,,,,,,,
9749,38,38,0.000682555,10,0,0,0.000112026,0.031248,0.000109941,0.03125,0.03125,0.280804,6.34141,11.9224,1.16298,0.0735262,3.54037,0.0335108,0.0600446,0.0306839,0.00450177,0.0219783,0.0503452,0,5.08311,0,
9799,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9849,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9899,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9949,39,,0.000675729,,,,,,,,,,,,,,,,,,,,,,,,
9999,39,39,0.000675729,10,0,0,0.000110664,0.03125,0.000109063,0.03125,0.03125,0.275216,6.36482,11.0088,1.12585,0.0644289,3.24866,0.0335206,0.0537054,0.0307031,0.00385344,0.022476,0.0568649,0,5.24707,0,
10049,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10099,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10149,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10199,40,,0.000668972,,,,,,,,,,,,,,,,,,,,,,,,
10249,40,40,0.000668972,10,0,0,0.000110835,0.03125,0.000108897,0.03125,0.03125,0.270033,6.30458,10.885,1.13233,0.0679153,3.1391,0.0321287,0.0568061,0.030042,0.00345246,0.0188977,0.0514451,0,5.3767,0,
10299,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10349,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10399,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10449,41,,0.000662282,,,,,,,,,,,,,,,,,,,,,,,,
10499,41,41,0.000662282,10,0,0,0.000110908,0.03125,0.000109404,0.03125,0.03125,0.268567,6.5025,11.3552,1.15699,0.0652704,3.31588,0.0341961,0.0531759,0.0318177,0.00415184,0.0311011,0.050734,0,5.19416,0,
10549,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10599,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10649,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10699,42,,0.000655659,,,,,,,,,,,,,,,,,,,,,,,,
10749,42,42,0.000655659,10,0,0,0.000110864,0.03125,0.000108986,0.03125,0.03125,0.267118,6.27439,11.0124,1.14942,0.0746468,3.40573,0.0336026,0.0608373,0.0323831,0.00370487,0.0198529,0.0512348,0,4.83987,0,
10799,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10849,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10899,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10949,43,,0.000649103,,,,,,,,,,,,,,,,,,,,,,,,
10999,43,43,0.000649103,10,0,0,0.000111316,0.03125,0.000109136,0.03125,0.03125,0.266597,6.23877,11.9178,1.15586,0.0827694,3.84321,0.0316327,0.055106,0.0308107,0.00448741,0.0181058,0.0496538,0,5.85916,0,
11049,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11099,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11149,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11199,44,,0.000642612,,,,,,,,,,,,,,,,,,,,,,,,
11249,44,44,0.000642612,10,0,0,0.000110644,0.03125,0.000108719,0.03125,0.03125,0.262016,6.34477,11.2955,1.14142,0.0631897,3.31013,0.0315456,0.0527899,0.0296124,0.00405142,0.0198937,0.0513806,0,5.17364,0,
11299,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11349,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11399,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11449,45,,0.000636185,,,,,,,,,,,,,,,,,,,,,,,,
11499,45,45,0.000636185,10,0,0,0.000110767,0.03125,0.000108799,0.03125,0.03125,0.260124,6.1859,10.6473,1.1231,0.0663501,3.19111,0.032106,0.0542614,0.0322969,0.0031799,0.0202669,0.050525,0,4.8957,0,
11549,46,,0.000629824,,,,,,,,,,,,,,,,,,,,,,,,
