filename,target_npz,runtime,best_loss,best_popsize,loss_name,gt_loss,nmse,gt_available,mu,D_div_mu,T0_div_mu,Ly,op_x,op_y,gt_mu,gt_D_div_mu,gt_T0_div_mu,gt_Ly,gt_op_x,gt_op_y
random_IR_0075.npz,random_IR_0075.npz,209.869,0.00033025,49,L1_STFT,1.102e-05,0.02796974,True,77.47215044,16.77241563,15.53729627,3.06112361,0.85805884,0.51385904,34.98257925,16.77254661,15.54152463,3.0611032,0.85806505,0.51386321
random_IR_0076.npz,random_IR_0076.npz,180.683,0.00018897,60,L1_STFT,1.079e-05,0.07854773,True,84.04392203,27.20277877,71.82158362,2.18076935,0.52191298,0.67788154,12.83982921,27.20233309,71.81655034,2.1807693,0.52191347,0.67787938
random_IR_0077.npz,random_IR_0077.npz,322.211,0.00021386,53,L1_STFT,2.192e-05,0.02624739,True,50.90644758,13.42505224,21.51541939,2.90446882,0.85067271,0.83926202,9.74589885,13.42512184,21.52267896,2.90447007,0.8506823,0.839259
random_IR_0078.npz,random_IR_0078.npz,333.354,0.00021711,48,L1_STFT,4.004e-05,0.05036077,True,70.88006778,1.03999499,46.67519097,3.85169828,0.98175547,0.51826852,13.86569804,1.03999452,46.67635051,3.85169696,0.98175746,0.51826712
random_IR_0079.npz,random_IR_0079.npz,190.746,0.000152,56,L1_STFT,1.271e-05,0.00022515,True,33.24020231,34.73741262,13.77771609,3.11980482,0.55765288,0.7265963,37.05235035,34.73741555,13.75923777,3.11979905,0.55764903,0.72659746
random_IR_0080.npz,random_IR_0080.npz,202.657,0.00022854,52,L1_STFT,1.705e-05,0.03034423,True,69.59929605,24.50283474,3.6106015,2.60786275,0.81541253,0.94460651,25.34288344,24.50316,3.58660148,2.60786189,0.81541439,0.94461078
random_IR_0081.npz,random_IR_0081.npz,353.945,0.00024595,55,L1_STFT,2.555e-05,4.73e-05,True,30.61371672,1.59923129,33.96711287,2.89459019,0.96195815,0.77527578,28.86632276,1.59923065,33.96970009,2.89459589,0.96195051,0.77527659
random_IR_0082.npz,random_IR_0082.npz,370.802,0.00015968,59,L1_STFT,1.068e-05,6.51e-05,True,87.24039702,6.09814511,11.36792863,3.77759732,0.59564168,0.70067467,85.19058441,6.09817971,11.36612378,3.7775876,0.59563828,0.70067599
random_IR_0083.npz,random_IR_0083.npz,626.66,0.00021828,60,L1_STFT,2.265e-05,0.02154468,True,4.71441263,3.0490466,3.8209428,3.86120364,0.95486311,0.58851147,42.00576957,3.0490712,3.82033327,3.86121382,0.95485904,0.58851293
random_IR_0084.npz,random_IR_0084.npz,489.896,0.0001289,56,L1_STFT,8.26e-06,0.01392487,True,12.88111287,4.57697344,1.78461247,3.01724623,0.52940592,0.53937249,42.86125713,4.57703792,1.78473543,3.01724078,0.52941161,0.53937271
