step,epoch,final_spec_losses_weighted/1024_spectrogram_logmag_eps,final_spec_losses_weighted/128_spectrogram_logmag_eps,final_spec_losses_weighted/2048_spectrogram_logmag_eps,final_spec_losses_weighted/256_spectrogram_logmag_eps,final_spec_losses_weighted/512_spectrogram_logmag_eps,final_spec_losses_weighted/64_spectrogram_logmag_eps,in_domain_validation_losses/loss_total,in_domain_validation_losses/raw_params_loss,in_domain_validation_losses/raw_spec_loss,in_domain_validation_losses/weighted_params_loss,in_domain_validation_losses/weighted_spec_loss,in_domain_validation_metrics/lsd_value,in_domain_validation_metrics/mean_average_error,in_domain_validation_metrics/mfcc_mae,in_domain_validation_metrics/paper_lsd_value,in_domain_validation_metrics/pearson_fft,in_domain_validation_metrics/pearson_stft,in_domain_validation_metrics/spectral_convergence_value,loss/parameters_decay_factor,loss/spec_loss_rampup_factor,lr-Adam,normalized_losses/post_rampup_weighted_params_loss,normalized_losses/post_rampup_weighted_spec_loss,normalized_losses/running_avg_parameters_loss,normalized_losses/running_avg_spectrogram_loss,train_loss_epoch,train_loss_step,train_losses/loss_total,train_losses/raw_params_loss,train_losses/raw_spec_loss,train_losses/weighted_params_loss,train_losses/weighted_spec_loss
98,,,,,,,,10.553359031677246,,,,,,,,,,,,0.0,1.0,,0.0,8.853702545166016,14.389213562011719,14.445127487182617,,,,,,,
99,2.0,1.5041640996932983,1.5922842025756836,1.4537471532821655,1.5713742971420288,1.5131829977035522,1.4045320749282837,13.328853607177734,,,,,,,,,,,,0.0,1.0,3.333333370392211e-05,0.0,9.039284706115723,14.391069412231445,14.445127487182617,,9.039284706115723,9.039284706115723,0.5195625424385071,9.039284706115723,0.0,9.039284706115723
100,,,,,,,,11.175320625305176,,,,,,,,,,,,0.0,1.0,,0.0,8.680882453918457,14.38748550415039,14.445127487182617,,,,,,,
101,,,,,,,,16.399063110351562,,,,,,,,,,,,0.0,1.0,,0.0,7.740774631500244,14.378084182739258,14.445127487182617,,,,,,,
102,,,,,,,,10.952491760253906,,,,,,,,,,,,0.0,1.0,,0.0,7.741329193115234,14.378089904785156,14.445127487182617,,,,,,,
103,,,,,,,,13.153328895568848,,,,,,,,,,,,0.0,1.0,,0.0,7.934114456176758,14.380017280578613,14.445127487182617,,,,,,,
104,,,,,,,,13.08852767944336,,,,,,,,,,,,0.0,1.0,,0.0,8.590551376342773,14.386581420898438,14.445127487182617,,,,,,,
105,,,,,,,,12.394988059997559,,,,,,,,,,,,0.0,1.0,,0.0,7.48089599609375,14.37548542022705,14.445127487182617,,,,,,,
106,,,,,,,,13.303278923034668,,,,,,,,,,,,0.0,1.0,,0.0,7.768970012664795,14.378366470336914,14.445127487182617,,,,,,,
107,,,,,,,,16.08241844177246,,,,,,,,,,,,0.0,1.0,,0.0,7.650503158569336,14.377181053161621,14.445127487182617,,,,,,,
108,,,,,,,,16.763668060302734,,,,,,,,,,,,0.0,1.0,,0.0,6.341386795043945,14.364089965820312,14.445127487182617,,,,,,,
109,,,,,,,,10.35918140411377,,,,,,,,,,,,0.0,1.0,,0.0,6.15426778793335,14.362218856811523,14.445127487182617,,,,,,,
110,,,,,,,,15.182158470153809,,,,,,,,,,,,0.0,1.0,,0.0,6.833812713623047,14.369014739990234,14.445127487182617,,,,,,,
111,,,,,,,,11.459736824035645,,,,,,,,,,,,0.0,1.0,,0.0,6.603578090667725,14.36671257019043,14.445127487182617,,,,,,,
112,,,,,,,,13.710726737976074,,,,,,,,,,,,0.0,1.0,,0.0,5.834599018096924,14.35902214050293,14.445127487182617,,,,,,,
113,,,,,,,,12.468862533569336,,,,,,,,,,,,0.0,1.0,,0.0,6.688939571380615,14.367566108703613,14.445127487182617,,,,,,,
114,,,,,,,,10.385343551635742,,,,,,,,,,,,0.0,1.0,,0.0,6.729477882385254,14.367971420288086,14.445127487182617,,,,,,,
115,,,,,,,,13.187602043151855,,,,,,,,,,,,0.0,1.0,,0.0,6.8816118240356445,14.369492530822754,14.445127487182617,,,,,,,
116,,,,,,,,11.198328971862793,,,,,,,,,,,,0.0,1.0,,0.0,7.439826965332031,14.37507438659668,14.445127487182617,,,,,,,
117,,,,,,,,15.546004295349121,,,,,,,,,,,,0.0,1.0,,0.0,6.258553504943848,14.363262176513672,14.445127487182617,,,,,,,
118,,,,,,,,11.047121047973633,,,,,,,,,,,,0.0,1.0,,0.0,7.091346740722656,14.371589660644531,14.445127487182617,,,,,,,
119,2.0,2.570150375366211,2.110689163208008,2.566801071166992,2.2465152740478516,2.399594306945801,1.7802695035934448,13.053393363952637,0.5575498342514038,13.674020767211914,0.0,13.674020767211914,7.368109703063965,0.847865104675293,10.719321250915527,16.977012634277344,0.958621084690094,0.9368878602981567,0.4978720545768738,0.0,1.0,,0.0,7.241365909576416,14.373089790344238,14.445127487182617,8.037352561950684,,,,,,
120,,,,,,,,12.881108283996582,,,,,,,,,,,,0.0,1.0,,0.0,6.845036506652832,14.369126319885254,14.445127487182617,,,,,,,
121,,,,,,,,12.569162368774414,,,,,,,,,,,,0.0,1.0,,0.0,7.4423627853393555,14.375100135803223,14.445127487182617,,,,,,,
122,,,,,,,,13.225309371948242,,,,,,,,,,,,0.0,1.0,,0.0,7.431663513183594,14.374993324279785,14.445127487182617,,,,,,,
123,,,,,,,,15.520211219787598,,,,,,,,,,,,0.0,1.0,,0.0,7.51713752746582,14.375847816467285,14.445127487182617,,,,,,,
124,,,,,,,,16.14908218383789,,,,,,,,,,,,0.0,1.0,,0.0,6.1517839431762695,14.362194061279297,14.445127487182617,,,,,,,
125,,,,,,,,10.60073471069336,,,,,,,,,,,,0.0,1.0,,0.0,7.029869556427002,14.370975494384766,14.445127487182617,,,,,,,
126,,,,,,,,14.696723937988281,,,,,,,,,,,,0.0,1.0,,0.0,6.92503023147583,14.369926452636719,14.445127487182617,,,,,,,
127,,,,,,,,11.639147758483887,,,,,,,,,,,,0.0,1.0,,0.0,5.183155536651611,14.352507591247559,14.445127487182617,,,,,,,
128,,,,,,,,12.681910514831543,,,,,,,,,,,,0.0,1.0,,0.0,5.864376544952393,14.359319686889648,14.445127487182617,,,,,,,
129,,,,,,,,11.605628967285156,,,,,,,,,,,,0.0,1.0,,0.0,5.470515251159668,14.355381965637207,14.445127487182617,,,,,,,
130,,,,,,,,9.645230293273926,,,,,,,,,,,,0.0,1.0,,0.0,6.00247049331665,14.360700607299805,14.445127487182617,,,,,,,
131,,,,,,,,12.086281776428223,,,,,,,,,,,,0.0,1.0,,0.0,6.970551490783691,14.370382308959961,14.445127487182617,,,,,,,
132,,,,,,,,10.443595886230469,,,,,,,,,,,,0.0,1.0,,0.0,5.828125953674316,14.358957290649414,14.445127487182617,,,,,,,
133,,,,,,,,14.153266906738281,,,,,,,,,,,,0.0,1.0,,0.0,6.560606002807617,14.36628246307373,14.445127487182617,,,,,,,
134,,,,,,,,10.067229270935059,,,,,,,,,,,,0.0,1.0,,0.0,7.36509370803833,14.374327659606934,14.445127487182617,,,,,,,
